batter,pitcher,stand,p_throws,events,description,player_AVG,player_OBP,player_SLG,player_PA
680776,686752,L,R,single,hit_into_play,0.285,0.342,0.492,735
680776,663992,L,L,field_out,hit_into_play,0.285,0.342,0.492,735
680776,663992,L,L,,ball,0.285,0.342,0.492,735
680776,663992,L,L,,foul,0.285,0.342,0.492,735
680776,663992,L,L,,ball,0.285,0.342,0.492,735
680776,663992,L,L,,foul,0.285,0.342,0.492,735
680776,682254,L,L,strikeout,swinging_strike,0.285,0.342,0.492,735
680776,682254,L,L,,swinging_strike,0.285,0.342,0.492,735
680776,663992,L,L,,ball,0.285,0.342,0.492,735
680776,686752,L,R,strikeout,swinging_strike,0.285,0.342,0.492,735
680776,682254,L,L,,called_strike,0.285,0.342,0.492,735
680776,663992,L,L,,called_strike,0.285,0.342,0.492,735
680776,686752,L,R,,called_strike,0.285,0.342,0.492,735
680776,686752,L,R,,foul,0.285,0.342,0.492,735
680776,682254,L,L,,ball,0.285,0.342,0.492,735
680776,669358,L,R,hit_by_pitch,hit_by_pitch,0.285,0.342,0.492,735
680776,669358,L,R,,foul,0.285,0.342,0.492,735
680776,669358,L,R,,foul,0.285,0.342,0.492,735
680776,669358,L,R,,swinging_strike,0.285,0.342,0.492,735
680776,669358,L,R,field_out,hit_into_play,0.285,0.342,0.492,735
680776,669358,L,R,,foul,0.285,0.342,0.492,735
680776,656876,L,R,field_out,hit_into_play,0.285,0.342,0.492,735
680776,656876,L,R,,called_strike,0.285,0.342,0.492,735
680776,656876,L,R,,ball,0.285,0.342,0.492,735
680776,656876,L,R,,ball,0.285,0.342,0.492,735
680776,656876,L,R,,ball,0.285,0.342,0.492,735
680776,669358,L,R,field_out,hit_into_play,0.285,0.342,0.492,735
680776,669358,L,R,,ball,0.285,0.342,0.492,735
680776,671737,L,R,strikeout,swinging_strike_blocked,0.285,0.342,0.492,735
680776,671737,L,R,,called_strike,0.285,0.342,0.492,735
680776,671737,L,R,,foul,0.285,0.342,0.492,735
680776,671737,L,R,single,hit_into_play,0.285,0.342,0.492,735
680776,671737,L,R,,called_strike,0.285,0.342,0.492,735
680776,671737,L,R,,ball,0.285,0.342,0.492,735
680776,671737,L,R,,ball,0.285,0.342,0.492,735
680776,671737,L,R,,ball,0.285,0.342,0.492,735
680776,621363,L,L,field_out,hit_into_play,0.285,0.342,0.492,735
680776,621363,L,L,,foul,0.285,0.342,0.492,735
680776,621363,L,L,,ball,0.285,0.342,0.492,735
680776,621363,L,L,,called_strike,0.285,0.342,0.492,735
680776,671737,L,R,field_out,hit_into_play,0.285,0.342,0.492,735
680776,671737,L,R,,swinging_strike,0.285,0.342,0.492,735
680776,671737,L,R,,ball,0.285,0.342,0.492,735
680776,592332,L,R,double,hit_into_play,0.285,0.342,0.492,735
680776,592332,L,R,field_out,hit_into_play,0.285,0.342,0.492,735
680776,592332,L,R,,ball,0.285,0.342,0.492,735
680776,663893,L,L,single,hit_into_play,0.285,0.342,0.492,735
680776,663893,L,L,,called_strike,0.285,0.342,0.492,735
680776,663893,L,L,,ball,0.285,0.342,0.492,735
680776,663893,L,L,,ball,0.285,0.342,0.492,735
680776,592332,L,R,field_out,hit_into_play,0.285,0.342,0.492,735
680776,592332,L,R,,called_strike,0.285,0.342,0.492,735
680776,592332,L,R,,ball,0.285,0.342,0.492,735
680776,592332,L,R,,called_strike,0.285,0.342,0.492,735
680776,670102,L,R,single,hit_into_play,0.285,0.342,0.492,735
680776,670102,L,R,,foul_tip,0.285,0.342,0.492,735
680776,670102,L,R,,called_strike,0.285,0.342,0.492,735
680776,670102,L,R,,ball,0.285,0.342,0.492,735
680776,621114,L,R,strikeout,swinging_strike_blocked,0.285,0.342,0.492,735
680776,621114,L,R,,swinging_strike_blocked,0.285,0.342,0.492,735
680776,621114,L,R,,ball,0.285,0.342,0.492,735
680776,621114,L,R,,called_strike,0.285,0.342,0.492,735
680776,643338,L,R,field_out,hit_into_play,0.285,0.342,0.492,735
680776,643338,L,R,,foul,0.285,0.342,0.492,735
680776,643338,L,R,,ball,0.285,0.342,0.492,735
680776,687922,L,L,field_out,hit_into_play,0.285,0.342,0.492,735
680776,670102,L,R,strikeout,swinging_strike,0.285,0.342,0.492,735
680776,687922,L,L,,ball,0.285,0.342,0.492,735
680776,687922,L,L,,ball,0.285,0.342,0.492,735
680776,670102,L,R,,ball,0.285,0.342,0.492,735
680776,670102,L,R,,foul,0.285,0.342,0.492,735
680776,687922,L,L,,ball,0.285,0.342,0.492,735
680776,670102,L,R,,called_strike,0.285,0.342,0.492,735
680776,687922,L,L,,called_strike,0.285,0.342,0.492,735
680776,605135,L,R,double,hit_into_play,0.285,0.342,0.492,735
680776,605135,L,R,,foul,0.285,0.342,0.492,735
680776,605135,L,R,,called_strike,0.285,0.342,0.492,735
680776,605135,L,R,field_out,hit_into_play,0.285,0.342,0.492,735
680776,622253,L,R,truncated_pa,called_strike,0.285,0.342,0.492,735
680776,667297,L,R,triple,hit_into_play,0.285,0.342,0.492,735
680776,667297,L,R,,ball,0.285,0.342,0.492,735
680776,667297,L,R,,called_strike,0.285,0.342,0.492,735
680776,667297,L,R,,ball,0.285,0.342,0.492,735
680776,667297,L,R,,swinging_strike,0.285,0.342,0.492,735
680776,667297,L,R,,ball,0.285,0.342,0.492,735
680776,605135,L,R,strikeout,foul_tip,0.285,0.342,0.492,735
680776,605135,L,R,,ball,0.285,0.342,0.492,735
680776,657024,L,R,field_out,hit_into_play,0.285,0.342,0.492,735
680776,605135,L,R,,ball,0.285,0.342,0.492,735
680776,657024,L,R,,foul,0.285,0.342,0.492,735
680776,657024,L,R,,swinging_strike,0.285,0.342,0.492,735
680776,605135,L,R,,foul,0.285,0.342,0.492,735
680776,605135,L,R,,called_strike,0.285,0.342,0.492,735
680776,657024,L,R,,ball,0.285,0.342,0.492,735
680776,641154,L,R,single,hit_into_play,0.285,0.342,0.492,735
680776,641154,L,R,,called_strike,0.285,0.342,0.492,735
680776,805673,L,R,field_out,hit_into_play,0.285,0.342,0.492,735
680776,805673,L,R,,ball,0.285,0.342,0.492,735
680776,805673,L,R,,called_strike,0.285,0.342,0.492,735
680776,641154,L,R,field_out,hit_into_play,0.285,0.342,0.492,735
680776,641154,L,R,,ball,0.285,0.342,0.492,735
680776,641154,L,R,,foul,0.285,0.342,0.492,735
680776,543859,L,R,field_out,hit_into_play,0.285,0.342,0.492,735
680776,543859,L,R,,ball,0.285,0.342,0.492,735
680776,543859,L,R,,foul,0.285,0.342,0.492,735
680776,543859,L,R,,called_strike,0.285,0.342,0.492,735
680776,687396,L,L,walk,ball,0.285,0.342,0.492,735
680776,687396,L,L,,foul,0.285,0.342,0.492,735
680776,687396,L,L,,blocked_ball,0.285,0.342,0.492,735
680776,687396,L,L,,ball,0.285,0.342,0.492,735
680776,687396,L,L,,swinging_strike,0.285,0.342,0.492,735
680776,687396,L,L,,ball,0.285,0.342,0.492,735
680776,663485,L,R,double,hit_into_play,0.285,0.342,0.492,735
680776,663485,L,R,,foul,0.285,0.342,0.492,735
680776,663485,L,R,,ball,0.285,0.342,0.492,735
680776,663485,L,R,,swinging_strike,0.285,0.342,0.492,735
680776,663485,L,R,,ball,0.285,0.342,0.492,735
680776,641154,L,R,strikeout,swinging_strike,0.285,0.342,0.492,735
680776,641154,L,R,,foul,0.285,0.342,0.492,735
680776,608344,L,L,walk,ball,0.285,0.342,0.492,735
680776,641154,L,R,,ball,0.285,0.342,0.492,735
680776,608344,L,L,,ball,0.285,0.342,0.492,735
680776,805673,L,R,field_out,hit_into_play,0.285,0.342,0.492,735
680776,608344,L,L,,ball,0.285,0.342,0.492,735
680776,805673,L,R,,ball,0.285,0.342,0.492,735
680776,656240,L,R,field_out,hit_into_play,0.285,0.342,0.492,735
680776,641154,L,R,,ball,0.285,0.342,0.492,735
680776,608344,L,L,,ball,0.285,0.342,0.492,735
680776,805673,L,R,,called_strike,0.285,0.342,0.492,735
680776,641154,L,R,,foul,0.285,0.342,0.492,735
680776,701581,L,R,single,hit_into_play,0.285,0.342,0.492,735
680776,701581,L,R,,called_strike,0.285,0.342,0.492,735
680776,701581,L,R,walk,ball,0.285,0.342,0.492,735
680776,701581,L,R,,ball,0.285,0.342,0.492,735
680776,701581,L,R,,ball,0.285,0.342,0.492,735
680776,701581,L,R,,ball,0.285,0.342,0.492,735
680776,701581,L,R,strikeout,swinging_strike,0.285,0.342,0.492,735
680776,663485,L,R,strikeout,swinging_strike,0.285,0.342,0.492,735
680776,701581,L,R,,foul,0.285,0.342,0.492,735
680776,663485,L,R,,ball,0.285,0.342,0.492,735
680776,663485,L,R,,blocked_ball,0.285,0.342,0.492,735
680776,701581,L,R,,foul,0.285,0.342,0.492,735
680776,663485,L,R,,swinging_strike,0.285,0.342,0.492,735
680776,701581,L,R,,ball,0.285,0.342,0.492,735
680776,663485,L,R,,foul,0.285,0.342,0.492,735
680776,701581,L,R,,swinging_strike,0.285,0.342,0.492,735
680776,678692,L,R,single,hit_into_play,0.285,0.342,0.492,735
680776,701581,L,R,,called_strike,0.285,0.342,0.492,735
680776,678692,L,R,,ball,0.285,0.342,0.492,735
680776,641793,L,R,field_out,hit_into_play,0.285,0.342,0.492,735
680776,641793,L,R,,called_strike,0.285,0.342,0.492,735
680776,641793,L,R,field_out,hit_into_play,0.285,0.342,0.492,735
680776,641793,L,R,field_out,hit_into_play,0.285,0.342,0.492,735
680776,686752,L,R,strikeout,swinging_strike,0.285,0.342,0.492,735
680776,686752,L,R,,foul,0.285,0.342,0.492,735
680776,686752,L,R,,ball,0.285,0.342,0.492,735
680776,686752,L,R,,ball,0.285,0.342,0.492,735
680776,686752,L,R,,foul,0.285,0.342,0.492,735
680776,686752,L,R,,foul,0.285,0.342,0.492,735
680776,686752,L,R,field_out,hit_into_play,0.285,0.342,0.492,735
680776,656876,L,R,single,hit_into_play,0.285,0.342,0.492,735
680776,656876,L,R,,foul,0.285,0.342,0.492,735
680776,656876,L,R,,foul,0.285,0.342,0.492,735
680776,656876,L,R,,called_strike,0.285,0.342,0.492,735
680776,686752,L,R,strikeout,swinging_strike,0.285,0.342,0.492,735
