mlbID,ERA,WHIP,SO9,SO/W,HR,BB,H,IP,BAbip
671096,3.72,1.297,7.4,2.19,25,52,127,138.0,0.26
650556,3.05,1.155,11.9,3.18,9,33,59,79.2,0.284
592094,2.05,0.848,9.9,3.78,6,23,44,79.0,0.211
613534,3.92,1.476,11.5,2.3,4,23,38,41.1,0.351
686654,14.54,2.077,6.2,1.5,4,2,7,4.1,0.25
672851,6.75,1.5,5.1,1.5,2,4,12,10.2,0.294
687924,6.25,1.326,5.4,1.58,8,12,30,31.2,0.229
669211,3.29,0.945,11.0,4.85,9,20,55,79.1,0.247
660896,3.24,1.029,8.9,2.9,8,20,40,58.1,0.221
691951,4.85,1.923,6.9,1.0,2,10,15,13.0,0.302
518397,2.56,1.19,7.2,2.07,3,15,31,38.2,0.262
641302,5.1,1.245,7.5,3.75,23,24,110,107.2,0.28
663465,5.0,1.556,7.7,2.88,5,8,34,27.0,0.358
663531,5.46,1.5,6.8,2.1,3,10,32,28.0,0.315
671106,5.64,1.582,7.3,1.93,22,41,113,97.1,0.319
622075,3.45,1.085,11.5,2.5,1,8,9,15.2,0.222
656186,14.73,2.182,12.3,1.67,1,3,5,3.2,0.4
621237,4.33,1.283,9.2,2.13,6,30,50,62.1,0.272
657193,0.0,1.0,9.0,,0,0,1,1.0,0.333
640470,4.67,1.442,6.8,2.17,6,6,19,17.1,0.265
502624,5.4,1.303,6.5,2.0,12,21,55,58.1,0.246
681982,8.1,1.613,9.8,2.9,11,10,33,26.2,0.319
605121,4.39,1.5,9.6,1.78,5,32,48,53.1,0.299
623433,4.04,1.402,7.3,1.93,6,15,35,35.2,0.284
641312,8.27,2.143,5.5,10.0,3,1,34,16.1,0.443
542881,3.81,1.288,7.1,1.95,24,73,158,179.1,0.258
677076,27.0,3.0,27.0,,1,0,1,0.1,
542882,6.0,1.333,10.5,7.0,2,1,7,6.0,0.313
622088,4.5,3.0,9.0,0.5,0,4,2,2.0,0.4
542888,4.86,1.53,8.9,2.64,6,25,77,66.2,0.364
681293,4.53,1.407,10.6,2.63,21,65,139,145.0,0.321
676879,3.49,1.235,10.5,2.75,2,12,23,28.1,0.276
668933,5.24,1.5,6.6,2.11,11,27,89,77.1,0.313
665871,3.73,1.401,7.6,1.97,20,63,143,147.0,0.292
687014,8.49,1.714,10.8,4.67,2,3,17,11.2,0.417
658648,3.68,1.272,8.7,2.31,8,36,73,85.2,0.284
669199,3.86,1.5,10.6,2.75,2,4,10,9.1,0.348
641329,5.01,1.157,8.9,3.29,3,7,20,23.1,0.283
607455,2.85,1.23,9.2,2.89,5,19,47,53.2,0.296
621383,4.05,1.309,9.8,3.2,6,25,71,73.1,0.323
605130,4.25,1.364,11.1,2.19,6,31,44,55.0,0.288
606930,4.36,1.318,7.5,2.75,10,20,67,66.0,0.297
598264,6.75,1.5,6.8,2.5,1,4,16,13.1,0.341
571466,18.0,4.0,0.0,,1,0,4,1.0,0.5
605135,4.16,1.462,8.8,2.4,18,70,180,171.0,0.335
669620,4.03,1.254,7.7,3.8,3,5,23,22.1,0.303
641343,4.5,2.25,2.3,0.25,0,4,5,4.0,0.333
657508,5.55,1.491,8.9,2.07,9,28,59,58.1,0.303
669358,3.06,1.059,7.8,2.56,9,27,57,79.1,0.229
660825,4.88,1.048,10.7,3.67,2,9,20,27.2,0.286
663941,1.69,1.125,7.9,3.5,2,4,14,16.0,0.261
670280,5.77,1.422,9.1,2.07,9,28,54,57.2,0.278
595881,8.36,1.786,11.6,2.0,2,9,16,14.0,0.4
656222,4.5,1.486,7.1,2.04,6,27,77,70.0,0.326
690925,4.91,1.364,12.3,5.0,0,1,4,3.2,0.444
678394,4.49,1.361,8.5,2.39,19,64,157,162.1,0.303
678368,3.67,1.311,5.8,2.1,15,21,69,68.2,0.254
669622,4.08,1.283,10.0,3.28,3,18,50,53.0,0.329
642834,8.1,1.95,5.4,2.0,2,2,11,6.2,0.391
657514,4.06,1.412,9.9,2.55,6,22,50,51.0,0.326
621244,3.6,1.154,7.2,2.83,31,54,168,192.1,0.258
672860,3.32,1.474,12.3,2.0,2,13,15,19.0,0.317
676440,3.48,1.149,9.7,4.13,23,48,163,183.2,0.294
