batter,pitcher,stand,p_throws,events,description,player_AVG,player_OBP,player_SLG,player_PA,mlbID,ERA,WHIP,SO9,SO/W,HR,BB,H,IP,BAbip
680776,686752,L,R,single,hit_into_play,0.285,0.342,0.492,735,686752,3.6,1.154,9.8,2.96,17,48,102,130.0,0.262
680776,663992,L,L,field_out,hit_into_play,0.285,0.342,0.492,735,663992,4.46,1.311,6.8,2.36,3,11,34,34.1,0.298
680776,663992,L,L,,ball,0.285,0.342,0.492,735,663992,4.46,1.311,6.8,2.36,3,11,34,34.1,0.298
680776,663992,L,L,,foul,0.285,0.342,0.492,735,663992,4.46,1.311,6.8,2.36,3,11,34,34.1,0.298
680776,663992,L,L,,ball,0.285,0.342,0.492,735,663992,4.46,1.311,6.8,2.36,3,11,34,34.1,0.298
680776,663992,L,L,,foul,0.285,0.342,0.492,735,663992,4.46,1.311,6.8,2.36,3,11,34,34.1,0.298
680776,682254,L,L,strikeout,swinging_strike,0.285,0.342,0.492,735,682254,1.86,1.138,15.8,3.4,0,5,6,9.2,0.4
680776,682254,L,L,,swinging_strike,0.285,0.342,0.492,735,682254,1.86,1.138,15.8,3.4,0,5,6,9.2,0.4
680776,663992,L,L,,ball,0.285,0.342,0.492,735,663992,4.46,1.311,6.8,2.36,3,11,34,34.1,0.298
680776,686752,L,R,strikeout,swinging_strike,0.285,0.342,0.492,735,686752,3.6,1.154,9.8,2.96,17,48,102,130.0,0.262
680776,682254,L,L,,called_strike,0.285,0.342,0.492,735,682254,1.86,1.138,15.8,3.4,0,5,6,9.2,0.4
680776,663992,L,L,,called_strike,0.285,0.342,0.492,735,663992,4.46,1.311,6.8,2.36,3,11,34,34.1,0.298
680776,686752,L,R,,called_strike,0.285,0.342,0.492,735,686752,3.6,1.154,9.8,2.96,17,48,102,130.0,0.262
680776,686752,L,R,,foul,0.285,0.342,0.492,735,686752,3.6,1.154,9.8,2.96,17,48,102,130.0,0.262
680776,682254,L,L,,ball,0.285,0.342,0.492,735,682254,1.86,1.138,15.8,3.4,0,5,6,9.2,0.4
680776,669358,L,R,hit_by_pitch,hit_by_pitch,0.285,0.342,0.492,735,669358,3.06,1.059,7.8,2.56,9,27,57,79.1,0.229
680776,669358,L,R,,foul,0.285,0.342,0.492,735,669358,3.06,1.059,7.8,2.56,9,27,57,79.1,0.229
