player_AVG,player_OBP,player_SLG,player_PA,ERA,WHIP,SO9,SO/W,HR,BB,H,IP,BAbip,is_hit,stand_R,p_throws_R,description_encoded
0.285,0.342,0.492,735,3.6,1.154,9.8,2.96,17,48,102,130.0,0.262,1,0,1,0
0.285,0.342,0.492,735,4.46,1.311,6.8,2.36,3,11,34,34.1,0.298,0,0,0,0
0.285,0.342,0.492,735,1.86,1.138,15.8,3.4,0,5,6,9.2,0.4,0,0,0,2
0.285,0.342,0.492,735,3.6,1.154,9.8,2.96,17,48,102,130.0,0.262,0,0,1,2
0.285,0.342,0.492,735,3.06,1.059,7.8,2.56,9,27,57,79.1,0.229,0,0,1,5
0.285,0.342,0.492,735,3.06,1.059,7.8,2.56,9,27,57,79.1,0.229,0,0,1,0
0.285,0.342,0.492,735,2.83,1.081,11.0,5.83,0,6,25,28.2,0.333,0,0,1,0
0.285,0.342,0.492,735,3.06,1.059,7.8,2.56,9,27,57,79.1,0.229,0,0,1,0
0.285,0.342,0.492,735,4.11,1.225,10.0,3.28,22,47,122,138.0,0.287,0,0,1,2
0.285,0.342,0.492,735,4.11,1.225,10.0,3.28,22,47,122,138.0,0.287,1,0,1,0
0.285,0.342,0.492,735,3.86,1.152,8.0,2.54,7,13,30,37.1,0.23,0,0,0,0
0.285,0.342,0.492,735,4.11,1.225,10.0,3.28,22,47,122,138.0,0.287,0,0,1,0
0.285,0.342,0.492,735,3.83,1.221,8.1,2.89,20,56,165,181.0,0.282,1,0,1,0
0.285,0.342,0.492,735,3.83,1.221,8.1,2.89,20,56,165,181.0,0.282,0,0,1,0
0.285,0.342,0.492,735,3.74,1.314,7.1,1.89,7,19,41,45.2,0.264,1,0,0,0
0.285,0.342,0.492,735,3.83,1.221,8.1,2.89,20,56,165,181.0,0.282,0,0,1,0
0.285,0.342,0.492,735,3.3,0.926,8.0,4.18,17,22,74,103.2,0.212,1,0,1,0
0.285,0.342,0.492,735,4.31,1.277,12.6,4.0,4,11,29,31.1,0.333,0,0,1,2
0.285,0.342,0.492,735,3.27,1.032,7.4,3.07,8,14,40,52.1,0.23,0,0,1,0
0.285,0.342,0.492,735,10.8,2.229,7.7,1.11,1,9,17,11.2,0.4,0,0,0,0
0.285,0.342,0.492,735,3.3,0.926,8.0,4.18,17,22,74,103.2,0.212,0,0,1,2
0.285,0.342,0.492,735,4.16,1.462,8.8,2.4,18,70,180,171.0,0.335,1,0,1,0
0.285,0.342,0.492,735,4.16,1.462,8.8,2.4,18,70,180,171.0,0.335,0,0,1,0
0.285,0.342,0.492,735,4.66,1.473,6.6,2.25,2,12,42,36.2,0.336,0,0,1,3
0.285,0.342,0.492,735,4.09,1.227,7.8,2.11,2,9,18,22.0,0.262,1,0,1,0
0.285,0.342,0.492,735,4.16,1.462,8.8,2.4,18,70,180,171.0,0.335,0,0,1,1
0.285,0.342,0.492,735,4.93,1.278,8.7,2.64,10,14,35,38.1,0.245,0,0,1,0
0.285,0.342,0.492,735,4.08,1.192,9.6,4.83,26,41,180,185.1,0.311,1,0,1,0
0.285,0.342,0.492,735,6.69,1.646,10.3,3.91,11,11,51,37.2,0.364,0,0,1,0
0.285,0.342,0.492,735,4.08,1.192,9.6,4.83,26,41,180,185.1,0.311,0,0,1,0
0.285,0.342,0.492,735,3.63,1.261,9.6,2.83,6,30,70,79.1,0.303,0,0,1,0
