name_last,name_first,key_mlbam,key_retro,key_bbref,key_fangraphs,mlb_played_first,mlb_played_last
duran,jarren,680776,duraj001,duranja01,24617,2021.0,2025.0
devers,rafael,646240,dever001,deverra01,17350,2017.0,2025.0
abreu,wilyer,677800,abrew002,abreuwi02,23772,2023.0,2025.0
o'neill,tyler,641933,oneit001,oneilty01,15711,2018.0,2025.0
hamilton,david,666152,hamid002,hamilda03,27531,2023.0,2025.0
refsnyder,rob,608701,refsr001,refsnro01,13770,2015.0,2025.0
wong,connor,657136,wongc001,wongco01,19896,2021.0,2025.0
rafaela,ceddanne,678882,rafac001,rafaece01,24262,2023.0,2025.0
yoshida,masataka,807799,yoshm002,yoshima02,31837,2023.0,2024.0
casas,triston,671213,casat001,casastr01,22514,2022.0,2025.0
story,trevor,596115,stort001,storytr01,12564,2016.0,2025.0
gonzalez,romy,663853,gonzr003,gonzaro01,21562,2021.0,2025.0
mcguire,reese,624512,mcgur002,mcguire01,15674,2018.0,2024.0
valdez,enmanuel,665839,valde002,valdeen01,21716,2023.0,2025.0
grissom,vaughn,687093,grisv001,grissva01,26031,2022.0,2024.0
